Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.0032,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,10,5
Label,,
TIME,CH1,CH2
-1.274e+00,32.4,13
-1.270e+00,32.8,13
-1.267e+00,32.4,13
-1.264e+00,32,13
-1.261e+00,32,13
-1.258e+00,32.4,13
-1.254e+00,32.8,12.6
-1.251e+00,32.8,12.6
-1.248e+00,32.8,12.6
-1.245e+00,32.4,12.4
-1.242e+00,32.8,12.4
-1.238e+00,32.8,12.4
-1.235e+00,33.2,12.6
-1.232e+00,33.2,12.6
-1.229e+00,32.8,12.6
-1.226e+00,33.2,12.6
-1.222e+00,33.2,12.6
-1.219e+00,33.2,12.6
-1.216e+00,32.4,12.4
-1.213e+00,33.6,12.6
-1.210e+00,33.2,12.6
-1.206e+00,33.6,12.6
-1.203e+00,33.2,12.8
-1.200e+00,32.8,12.8
-1.197e+00,33.6,12.8
-1.194e+00,34,13
-1.190e+00,34,13
-1.187e+00,34.4,13
-1.184e+00,34,12.8
-1.181e+00,33.6,13
-1.178e+00,34,13
-1.174e+00,34.4,13
-1.171e+00,34.4,13.2
-1.168e+00,32.8,13.4
-1.165e+00,34.8,13.2
-1.162e+00,34.4,13.4
-1.158e+00,34.4,13.4
-1.155e+00,34.4,13.4
-1.152e+00,33.6,13.4
-1.149e+00,33.2,13.4
-1.146e+00,34.8,13.2
-1.142e+00,34.4,13.2
-1.139e+00,34.8,13.2
-1.136e+00,35.6,13.2
-1.133e+00,35.6,13.2
-1.130e+00,34.8,13.2
-1.126e+00,35.2,13
-1.123e+00,34.8,13.2
-1.120e+00,34.8,12.8
-1.117e+00,35.2,12.8
-1.114e+00,35.2,12.6
-1.110e+00,34.8,12.6
-1.107e+00,35.2,12.6
-1.104e+00,35.6,12.8
-1.101e+00,35.2,12.6
-1.098e+00,35.6,12.6
-1.094e+00,34.8,12.6
-1.091e+00,35.6,12.6
-1.088e+00,36.8,12.4
-1.085e+00,35.6,12.4
-1.082e+00,36,12.2
-1.078e+00,36.4,12
-1.075e+00,36,12
-1.072e+00,35.6,12.2
-1.069e+00,36.8,12.2
-1.066e+00,36.4,12.2
-1.062e+00,36,12.2
-1.059e+00,36,12.2
-1.056e+00,37.2,12
-1.053e+00,36,12
-1.050e+00,36.4,12
-1.046e+00,36.4,12
-1.043e+00,36.4,12
-1.040e+00,36.4,12.2
-1.037e+00,36.4,12.2
-1.034e+00,36.4,12.6
-1.030e+00,37.2,12.6
-1.027e+00,36.8,12.8
-1.024e+00,37.2,13
-1.021e+00,37.2,12.8
-1.018e+00,36.8,12.8
-1.014e+00,37.6,13
-1.011e+00,37.2,13
-1.008e+00,36.8,13
-1.005e+00,37.6,13.4
-1.002e+00,37.2,13.2
-9.984e-01,38.4,13.4
-9.952e-01,37.2,13.4
-9.920e-01,37.6,13.4
-9.888e-01,37.6,13.4
-9.856e-01,37.6,13.4
-9.824e-01,37.6,13.6
-9.792e-01,38,13.4
-9.760e-01,38.4,13.4
-9.728e-01,38,13.4
-9.696e-01,38,13.4
-9.664e-01,38,13.4
-9.632e-01,38,13.4
-9.600e-01,38.8,13.6
-9.568e-01,38.4,13.4
-9.536e-01,38.4,13.4
-9.504e-01,38,13.2
-9.472e-01,38.4,13.2
-9.440e-01,39.2,13.2
-9.408e-01,38.8,13.2
-9.376e-01,38.4,13.4
-9.344e-01,38,13.2
-9.312e-01,38.8,13.2
-9.280e-01,38.8,13.2
-9.248e-01,38.8,13.2
-9.216e-01,38.8,13.4
-9.184e-01,39.2,13.2
-9.152e-01,38.8,13.2
-9.120e-01,38.8,13
-9.088e-01,39.6,13
-9.056e-01,39.2,13
-9.024e-01,39.6,13
-8.992e-01,39.2,13
-8.960e-01,40,13.2
-8.928e-01,40,13
-8.896e-01,39.6,13
-8.864e-01,39.6,12.8
-8.832e-01,39.6,12.6
-8.800e-01,39.2,12.4
-8.768e-01,39.6,12.2
-8.736e-01,40,12
-8.704e-01,39.2,12
-8.672e-01,39.6,12
-8.640e-01,40.4,11.8
-8.608e-01,40,11.6
-8.576e-01,40,11.4
-8.544e-01,40,11.4
-8.512e-01,40.4,11
-8.480e-01,40.4,10.6
-8.448e-01,40.8,10.4
-8.416e-01,41.2,10.4
-8.384e-01,40.4,10
-8.352e-01,40.4,9.8
-8.320e-01,40.4,9.8
-8.288e-01,40.4,9.4
-8.256e-01,40.8,9.4
-8.224e-01,41.6,9.4
-8.192e-01,40.8,9.2
-8.160e-01,40.8,8.8
-8.128e-01,40.8,8.8
-8.096e-01,40.8,8.6
-8.064e-01,41.6,8.2
-8.032e-01,41.2,8.4
-8.000e-01,41.2,8.2
-7.968e-01,41.6,8.2
-7.936e-01,41.6,8.2
-7.904e-01,41.6,7.8
-7.872e-01,41.6,7.8
-7.840e-01,41.6,7.8
-7.808e-01,41.6,7.6
-7.776e-01,40.8,7.2
-7.744e-01,41.2,7.2
-7.712e-01,41.6,7.2
-7.680e-01,42,7
-7.648e-01,42,7
-7.616e-01,40.8,6.8
-7.584e-01,41.6,6.6
-7.552e-01,42,6.6
-7.520e-01,42,6.2
-7.488e-01,42.4,6.2
-7.456e-01,42,6
-7.424e-01,42,5.6
-7.392e-01,42.4,5.4
-7.360e-01,42.8,5.2
-7.328e-01,42.4,5.2
-7.296e-01,42.4,5
-7.264e-01,42.8,4.8
-7.232e-01,42.8,4.6
-7.200e-01,42.8,4.4
-7.168e-01,42.8,4.2
-7.136e-01,42.8,3.8
-7.104e-01,42.8,3.4
-7.072e-01,43.2,3.4
-7.040e-01,42.8,3.2
-7.008e-01,43.2,2.8
-6.976e-01,42.4,3
-6.944e-01,43.2,2.8
-6.912e-01,43.6,2.8
-6.880e-01,43.6,2.8
-6.848e-01,43.2,2.6
-6.816e-01,44,2.4
-6.784e-01,43.6,2.2
-6.752e-01,43.6,2.2
-6.720e-01,43.6,2.2
-6.688e-01,43.6,2.2
-6.656e-01,44.8,2
-6.624e-01,43.6,2
-6.592e-01,44,2
-6.560e-01,44,2
-6.528e-01,44,2
-6.496e-01,44.8,1.8
-6.464e-01,43.2,1.8
-6.432e-01,44,1.6
-6.400e-01,44,1.4
-6.368e-01,44.4,1.4
-6.336e-01,43.6,1.4
-6.304e-01,44.8,1.2
-6.272e-01,44.8,1.2
-6.240e-01,44.4,1.2
-6.208e-01,44.8,1
-6.176e-01,44,0.8
-6.144e-01,44,0.8
-6.112e-01,44.8,0.6
-6.080e-01,44.4,0.4
-6.048e-01,44.8,0.4
-6.016e-01,46,0.2
-5.984e-01,45.6,0.2
-5.952e-01,45.2,0
-5.920e-01,45.2,0.2
-5.888e-01,45.2,0
-5.856e-01,45.2,-0.2
-5.824e-01,46,-0.2
-5.792e-01,45.2,-0.2
-5.760e-01,46,-0.4
-5.728e-01,45.6,-0.6
-5.696e-01,45.6,-0.8
-5.664e-01,45.6,-0.8
-5.632e-01,46,-0.8
-5.600e-01,46.4,-0.8
-5.568e-01,46,-0.8
-5.536e-01,46,-0.8
-5.504e-01,46.4,-0.8
-5.472e-01,46,-0.8
-5.440e-01,46.8,-1
-5.408e-01,46.8,-1
-5.376e-01,46.4,-1
-5.344e-01,46.4,-1
-5.312e-01,46.4,-1
-5.280e-01,46.4,-1
-5.248e-01,46.4,-0.8
-5.216e-01,46.8,-0.6
-5.184e-01,46,-0.6
-5.152e-01,46.8,-0.6
-5.120e-01,46.4,-0.6
